acquisition_week,acquired_users,converted_users,conversion_7d
2025-12-29,1542,160,0.10376134889753567
2026-01-05,2535,237,0.09349112426035502
2026-01-12,2707,274,0.10121906169190986
2026-01-19,2617,239,0.09132594573939626
2026-01-26,2598,231,0.08891454965357967
2026-02-02,2619,259,0.09889270714012982
2026-02-09,2722,266,0.09772226304188097
2026-02-16,2687,242,0.09006326758466691
2026-02-23,2578,240,0.09309542280837858
2026-03-02,2611,246,0.09421677518192263
2026-03-09,2642,270,0.10219530658591976
2026-03-16,2698,240,0.08895478131949593
2026-03-23,2684,222,0.08271236959761549
2026-03-30,2655,252,0.09491525423728814
2026-04-06,2679,252,0.0940649496080627
2026-04-13,2626,224,0.0853008377760853
2026-04-20,2676,240,0.08968609865470852
2026-04-27,2501,198,0.07916833266693322
2026-05-04,2632,227,0.08624620060790274
2026-05-11,2518,206,0.0818109610802224
2026-05-18,2724,249,0.09140969162995595
2026-05-25,2700,240,0.08888888888888889
2026-06-01,2596,237,0.09129429892141756
2026-06-08,2578,254,0.09852598913886734
2026-06-15,2742,238,0.08679795769511306
2026-06-22,2649,226,0.08531521328803322
2026-06-29,2550,216,0.08470588235294117
2026-07-06,2692,230,0.08543833580980684
2026-07-13,2710,226,0.08339483394833948
2026-07-20,2660,218,0.08195488721804511
2026-07-27,1872,167,0.08920940170940171
