checkout_id,user_id,session_id,store_id,checkout_started_at,checkout_ended_at,item_count,subtotal,delivery_fee,handling_fee,discount_amount,total_payable,estimated_delivery_minutes,checkout_outcome,abandonment_stage
1,27225,65922,7.0,2026-01-01 08:38:37+00:00,2026-01-01 08:39:51+00:00,4,250.0,0.0,5.0,0.0,255.0,26,order_created,
2,74302,179452,5.0,2026-01-01 08:38:52+00:00,2026-01-01 08:39:16+00:00,1,84.0,25.0,5.0,0.0,114.0,15,abandoned,fee_review
3,64954,156901,4.0,2026-01-01 09:12:11+00:00,2026-01-01 09:12:50+00:00,4,214.0,0.0,5.0,0.0,219.0,11,order_created,
4,43733,105774,11.0,2026-01-01 09:21:33+00:00,2026-01-01 09:21:57+00:00,1,13.0,25.0,5.0,0.0,43.0,27,abandoned,fee_review
5,65097,157253,13.0,2026-01-01 09:34:05+00:00,2026-01-01 09:35:19+00:00,1,599.0,0.0,0.0,30.0,569.0,19,order_created,
6,69079,166838,9.0,2026-01-01 09:45:55+00:00,2026-01-01 09:46:19+00:00,1,11.0,25.0,5.0,0.0,41.0,28,abandoned,fee_review
7,6422,15393,15.0,2026-01-01 10:11:20+00:00,2026-01-01 10:11:59+00:00,2,112.0,25.0,5.0,0.0,142.0,28,order_created,
8,11363,27399,1.0,2026-01-01 10:34:33+00:00,2026-01-01 10:35:12+00:00,2,379.0,0.0,5.0,30.0,354.0,22,order_created,
9,32810,79439,12.0,2026-01-01 10:38:19+00:00,2026-01-01 10:38:58+00:00,1,644.0,0.0,0.0,0.0,644.0,23,order_created,
10,48806,118010,6.0,2026-01-01 10:42:48+00:00,2026-01-01 10:43:27+00:00,3,431.0,0.0,0.0,0.0,431.0,18,payment_failed,
11,71050,171576,1.0,2026-01-01 10:57:18+00:00,2026-01-01 10:57:57+00:00,1,166.0,25.0,5.0,0.0,196.0,19,order_created,
12,78861,190487,10.0,2026-01-01 11:33:11+00:00,2026-01-01 11:33:50+00:00,2,326.0,0.0,5.0,30.0,301.0,19,order_created,
13,4949,11844,4.0,2026-01-01 12:47:28+00:00,2026-01-01 12:47:52+00:00,1,13.0,25.0,5.0,0.0,43.0,18,abandoned,fee_review
