assignment_id,experiment_id,user_id,variant,assigned_at,first_exposed_at,eligibility_reason
1,early_fee_transparency_v1,10,control,2026-07-26 20:52:26+00:00,,new_serviceable_user
2,early_fee_transparency_v1,32,treatment,2026-07-01 17:07:50+00:00,,new_serviceable_user
3,early_fee_transparency_v1,34,control,2026-07-05 16:56:35+00:00,,new_serviceable_user
4,early_fee_transparency_v1,58,control,2026-07-30 08:33:44+00:00,,new_serviceable_user
5,early_fee_transparency_v1,60,treatment,2026-07-16 08:21:45+00:00,,new_serviceable_user
6,early_fee_transparency_v1,66,control,2026-07-23 20:11:50+00:00,2026-07-25 04:42:49+00:00,new_serviceable_user
7,early_fee_transparency_v1,70,treatment,2026-07-27 08:54:22+00:00,,new_serviceable_user
8,early_fee_transparency_v1,82,control,2026-07-07 20:03:34+00:00,,new_serviceable_user
9,early_fee_transparency_v1,99,treatment,2026-07-23 12:59:05+00:00,,new_serviceable_user
10,early_fee_transparency_v1,101,treatment,2026-07-07 22:11:39+00:00,2026-07-07 22:22:58+00:00,new_serviceable_user
11,early_fee_transparency_v1,102,treatment,2026-07-08 08:26:45+00:00,2026-07-15 21:11:53+00:00,new_serviceable_user
12,early_fee_transparency_v1,104,control,2026-07-08 11:36:16+00:00,,new_serviceable_user
13,early_fee_transparency_v1,117,treatment,2026-07-27 19:50:48+00:00,2026-07-27 19:56:11+00:00,new_serviceable_user
14,early_fee_transparency_v1,126,control,2026-07-19 16:38:35+00:00,2026-07-19 17:09:09+00:00,new_serviceable_user
15,early_fee_transparency_v1,130,treatment,2026-07-26 13:43:47+00:00,,new_serviceable_user
16,early_fee_transparency_v1,132,treatment,2026-07-19 17:54:40+00:00,,new_serviceable_user
17,early_fee_transparency_v1,151,control,2026-07-30 22:55:11+00:00,2026-07-30 22:59:33+00:00,new_serviceable_user
18,early_fee_transparency_v1,156,control,2026-07-22 14:50:34+00:00,,new_serviceable_user
19,early_fee_transparency_v1,161,control,2026-07-23 17:55:05+00:00,,new_serviceable_user
20,early_fee_transparency_v1,162,treatment,2026-07-28 10:56:16+00:00,2026-08-07 19:28:09+00:00,new_serviceable_user
21,early_fee_transparency_v1,167,control,2026-07-11 12:45:11+00:00,2026-07-12 17:07:24+00:00,new_serviceable_user
22,early_fee_transparency_v1,174,control,2026-07-27 16:00:51+00:00,2026-07-27 16:29:50+00:00,new_serviceable_user
