status_event_id,order_id,order_status,status_timestamp,reason_code
1,1,placed,2026-01-01 08:39:53+00:00,
2,1,confirmed,2026-01-01 08:41:53+00:00,
3,1,packed,2026-01-01 08:46:53+00:00,
4,1,out_for_delivery,2026-01-01 08:51:53+00:00,
5,1,delivered,2026-01-01 09:04:53+00:00,
6,2,placed,2026-01-01 09:12:52+00:00,
7,2,confirmed,2026-01-01 09:15:52+00:00,
8,2,packed,2026-01-01 09:20:52+00:00,
9,2,out_for_delivery,2026-01-01 09:25:52+00:00,
10,2,delivered,2026-01-01 09:23:52+00:00,
11,3,placed,2026-01-01 09:35:21+00:00,
12,3,confirmed,2026-01-01 09:38:21+00:00,
13,3,packed,2026-01-01 09:43:21+00:00,
14,3,out_for_delivery,2026-01-01 09:48:21+00:00,
15,3,delivered,2026-01-01 09:49:21+00:00,
16,4,placed,2026-01-01 10:12:01+00:00,
17,4,confirmed,2026-01-01 10:14:01+00:00,
18,4,packed,2026-01-01 10:19:01+00:00,
19,4,out_for_delivery,2026-01-01 10:24:01+00:00,
20,4,delivered,2026-01-01 10:40:01+00:00,
21,5,placed,2026-01-01 10:35:14+00:00,
22,5,confirmed,2026-01-01 10:37:14+00:00,
23,5,packed,2026-01-01 10:42:14+00:00,
24,5,out_for_delivery,2026-01-01 10:47:14+00:00,
25,5,delivered,2026-01-01 10:46:14+00:00,
26,6,placed,2026-01-01 10:39:00+00:00,
27,6,confirmed,2026-01-01 10:42:00+00:00,
28,6,packed,2026-01-01 10:47:00+00:00,
29,6,out_for_delivery,2026-01-01 10:52:00+00:00,
30,6,delivered,2026-01-01 10:59:00+00:00,
31,7,placed,2026-01-01 10:57:59+00:00,
32,7,confirmed,2026-01-01 10:58:59+00:00,
33,7,packed,2026-01-01 11:03:59+00:00,
34,7,out_for_delivery,2026-01-01 11:08:59+00:00,
35,7,delivered,2026-01-01 11:22:59+00:00,
36,8,placed,2026-01-01 11:33:52+00:00,
37,8,confirmed,2026-01-01 11:34:52+00:00,
38,8,packed,2026-01-01 11:39:52+00:00,
39,8,out_for_delivery,2026-01-01 11:44:52+00:00,
40,8,delivered,2026-01-01 11:52:52+00:00,
41,9,placed,2026-01-01 13:23:30+00:00,
42,9,confirmed,2026-01-01 13:26:30+00:00,
43,9,packed,2026-01-01 13:31:30+00:00,
44,9,out_for_delivery,2026-01-01 13:36:30+00:00,
45,9,delivered,2026-01-01 13:55:30+00:00,
46,10,placed,2026-01-01 13:42:49+00:00,
47,10,confirmed,2026-01-01 13:44:49+00:00,
48,10,cancelled,2026-01-01 13:59:49+00:00,
49,11,placed,2026-01-01 13:44:44+00:00,
50,11,confirmed,2026-01-01 13:47:44+00:00,
51,11,packed,2026-01-01 13:52:44+00:00,
52,11,out_for_delivery,2026-01-01 13:57:44+00:00,
53,11,delivered,2026-01-01 14:25:44+00:00,
54,12,placed,2026-01-01 13:50:55+00:00,
55,12,confirmed,2026-01-01 13:51:55+00:00,
56,12,packed,2026-01-01 13:56:55+00:00,
57,12,out_for_delivery,2026-01-01 14:01:55+00:00,
58,12,delivered,2026-01-01 14:25:55+00:00,
59,13,placed,2026-01-01 14:03:26+00:00,
60,13,confirmed,2026-01-01 14:05:26+00:00,
61,13,packed,2026-01-01 14:10:26+00:00,
62,13,out_for_delivery,2026-01-01 14:15:26+00:00,
63,13,delivered,2026-01-01 14:22:26+00:00,
64,14,placed,2026-01-01 14:19:06+00:00,
65,14,confirmed,2026-01-01 14:20:06+00:00,
66,14,packed,2026-01-01 14:25:06+00:00,
67,14,out_for_delivery,2026-01-01 14:30:06+00:00,
68,14,delivered,2026-01-01 14:46:06+00:00,
69,15,placed,2026-01-01 14:45:12+00:00,
70,15,confirmed,2026-01-01 14:47:12+00:00,
71,15,cancelled,2026-01-01 14:54:12+00:00,address_issue
72,16,placed,2026-01-01 14:58:27+00:00,
73,16,confirmed,2026-01-01 15:01:27+00:00,
74,16,packed,2026-01-01 15:06:27+00:00,
75,16,out_for_delivery,2026-01-01 15:11:27+00:00,
76,16,delivered,2026-01-01 15:24:27+00:00,
77,17,placed,2026-01-01 15:36:34+00:00,
78,17,confirmed,2026-01-01 15:39:34+00:00,
79,17,packed,2026-01-01 15:44:34+00:00,
80,17,out_for_delivery,2026-01-01 15:49:34+00:00,
81,17,delivered,2026-01-01 15:56:34+00:00,
82,18,placed,2026-01-01 16:18:50+00:00,
83,18,confirmed,2026-01-01 16:20:50+00:00,
84,18,packed,2026-01-01 16:25:50+00:00,
85,18,out_for_delivery,2026-01-01 16:30:50+00:00,
86,18,delivered,2026-01-01 16:32:50+00:00,
87,19,placed,2026-01-01 16:31:06+00:00,
88,19,confirmed,2026-01-01 16:33:06+00:00,
89,19,packed,2026-01-01 16:38:06+00:00,
90,19,out_for_delivery,2026-01-01 16:43:06+00:00,
91,19,delivered,2026-01-01 16:48:06+00:00,
92,20,placed,2026-01-01 16:37:58+00:00,
93,20,confirmed,2026-01-01 16:40:58+00:00,
94,20,packed,2026-01-01 16:45:58+00:00,
95,20,out_for_delivery,2026-01-01 16:50:58+00:00,
96,20,delivered,2026-01-01 17:03:58+00:00,
97,21,placed,2026-01-01 16:53:00+00:00,
98,21,confirmed,2026-01-01 16:54:00+00:00,
99,21,packed,2026-01-01 16:59:00+00:00,
100,21,out_for_delivery,2026-01-01 17:04:00+00:00,
