payment_attempt_id,checkout_id,attempt_number,attempted_at,payment_method,payment_provider,payment_status,failure_code,failure_reason,amount,processing_time_ms
1,1,1,2026-01-01 08:39:12+00:00,UPI,SwiftPay,failed,NETWORK_ERROR,Network Error,255.0,2469
2,1,2,2026-01-01 08:39:47+00:00,netbanking,PayBridge,success,,,255.0,150
3,3,1,2026-01-01 09:12:46+00:00,card,RazorFlow,success,,,219.0,894
4,5,1,2026-01-01 09:34:40+00:00,card,SwiftPay,failed,BANK_DECLINE,Bank Decline,569.0,2231
5,5,2,2026-01-01 09:35:15+00:00,netbanking,SwiftPay,success,,,569.0,1018
6,7,1,2026-01-01 10:11:55+00:00,wallet,SwiftPay,success,,,142.0,1446
7,8,1,2026-01-01 10:35:08+00:00,UPI,PayBridge,success,,,354.0,150
8,9,1,2026-01-01 10:38:54+00:00,card,SwiftPay,success,,,644.0,1292
9,10,1,2026-01-01 10:43:23+00:00,netbanking,PayBridge,failed,NETWORK_ERROR,Network Error,431.0,1684
10,11,1,2026-01-01 10:57:53+00:00,UPI,RazorFlow,success,,,196.0,2155
11,12,1,2026-01-01 11:33:46+00:00,card,SwiftPay,success,,,301.0,2374
12,14,1,2026-01-01 12:54:18+00:00,netbanking,SwiftPay,failed,BANK_DECLINE,Bank Decline,431.0,3267
13,14,2,2026-01-01 12:54:53+00:00,wallet,RazorFlow,failed,NETWORK_ERROR,Network Error,431.0,2838
14,16,1,2026-01-01 13:23:24+00:00,UPI,RazorFlow,success,,,331.0,1250
15,17,1,2026-01-01 13:42:43+00:00,UPI,PayBridge,success,,,143.0,874
16,18,1,2026-01-01 13:44:38+00:00,card,SwiftPay,success,,,506.0,1314
17,19,1,2026-01-01 13:50:49+00:00,wallet,RazorFlow,success,,,175.0,1760
18,21,1,2026-01-01 14:03:20+00:00,UPI,PayBridge,success,,,804.0,1400
19,24,1,2026-01-01 14:19:00+00:00,card,PayBridge,success,,,755.0,1503
20,25,1,2026-01-01 14:45:06+00:00,wallet,SwiftPay,success,,,876.0,2070
21,26,1,2026-01-01 14:58:25+00:00,UPI,PayBridge,failed,TIMEOUT,Timeout,188.0,2835
22,27,1,2026-01-01 14:58:21+00:00,UPI,SwiftPay,success,,,159.0,2235
23,30,1,2026-01-01 15:36:28+00:00,UPI,RazorFlow,success,,,475.0,868
24,32,1,2026-01-01 16:18:44+00:00,UPI,PayBridge,success,,,697.0,1719
25,33,1,2026-01-01 16:31:00+00:00,wallet,PayBridge,success,,,926.0,549
26,34,1,2026-01-01 16:37:52+00:00,card,PayBridge,success,,,131.0,1687
27,36,1,2026-01-01 16:52:54+00:00,UPI,SwiftPay,success,,,444.0,1565
28,37,1,2026-01-01 16:55:19+00:00,UPI,PayBridge,success,,,689.0,1294
29,39,1,2026-01-01 18:26:52+00:00,UPI,SwiftPay,success,,,336.0,1879
30,40,1,2026-01-01 18:28:03+00:00,UPI,RazorFlow,success,,,488.0,1581
31,41,1,2026-01-01 18:42:01+00:00,wallet,RazorFlow,success,,,602.0,1466
32,42,1,2026-01-01 18:49:28+00:00,card,RazorFlow,success,,,237.0,1410
33,43,1,2026-01-01 19:19:04+00:00,netbanking,SwiftPay,success,,,164.0,1279
34,44,1,2026-01-01 19:20:26+00:00,card,SwiftPay,success,,,343.0,515
35,45,1,2026-01-01 20:02:10+00:00,card,RazorFlow,success,,,644.0,896
36,46,1,2026-01-01 20:14:51+00:00,card,RazorFlow,success,,,379.0,250
37,48,1,2026-01-01 20:58:08+00:00,card,RazorFlow,success,,,913.0,2001
38,49,1,2026-01-01 21:16:03+00:00,UPI,SwiftPay,success,,,145.0,1077
39,50,1,2026-01-01 21:46:33+00:00,UPI,SwiftPay,success,,,761.0,2039
40,51,1,2026-01-01 21:49:02+00:00,card,RazorFlow,success,,,849.0,933
41,54,1,2026-01-01 22:13:06+00:00,card,PayBridge,success,,,446.0,1542
42,60,1,2026-01-02 10:00:53+00:00,UPI,RazorFlow,success,,,571.0,1783
43,61,1,2026-01-02 10:02:49+00:00,UPI,SwiftPay,success,,,238.0,1711
44,63,1,2026-01-02 10:08:50+00:00,UPI,SwiftPay,success,,,408.0,1136
45,64,1,2026-01-02 10:34:08+00:00,UPI,RazorFlow,success,,,550.0,1653
46,65,1,2026-01-02 10:55:25+00:00,netbanking,RazorFlow,success,,,342.0,1743
47,66,1,2026-01-02 11:01:08+00:00,UPI,RazorFlow,success,,,466.0,2538
48,67,1,2026-01-02 11:42:29+00:00,UPI,RazorFlow,success,,,204.0,2108
49,68,1,2026-01-02 11:44:10+00:00,card,PayBridge,success,,,139.0,1818
50,70,1,2026-01-02 12:12:43+00:00,card,RazorFlow,success,,,312.0,1701
51,71,1,2026-01-02 12:24:24+00:00,wallet,RazorFlow,success,,,205.0,898
52,73,1,2026-01-02 13:19:10+00:00,card,PayBridge,success,,,180.0,1682
53,76,1,2026-01-02 13:54:34+00:00,UPI,SwiftPay,success,,,206.0,1252
54,78,1,2026-01-02 15:14:57+00:00,UPI,SwiftPay,success,,,182.0,1224
55,80,1,2026-01-02 15:37:10+00:00,UPI,RazorFlow,success,,,382.0,1136
56,81,1,2026-01-02 15:57:28+00:00,UPI,PayBridge,success,,,236.0,1458
57,82,1,2026-01-02 16:02:24+00:00,card,SwiftPay,success,,,351.0,2140
58,83,1,2026-01-02 16:33:52+00:00,UPI,SwiftPay,success,,,262.0,1291
59,84,1,2026-01-02 16:47:16+00:00,UPI,RazorFlow,success,,,477.0,1865
60,85,1,2026-01-02 17:06:38+00:00,UPI,SwiftPay,success,,,226.0,1587
61,87,1,2026-01-02 17:34:26+00:00,UPI,RazorFlow,success,,,311.0,1106
62,88,1,2026-01-02 17:38:01+00:00,UPI,PayBridge,success,,,487.0,1279
63,89,1,2026-01-02 17:47:30+00:00,card,PayBridge,success,,,675.0,1779
64,91,1,2026-01-02 18:08:23+00:00,card,RazorFlow,success,,,169.0,1368
65,92,1,2026-01-02 18:12:04+00:00,UPI,SwiftPay,success,,,266.0,1502
66,93,1,2026-01-02 18:21:08+00:00,UPI,SwiftPay,success,,,462.0,1220
67,94,1,2026-01-02 18:49:33+00:00,card,SwiftPay,success,,,311.0,157
