search_id,user_id,session_id,searched_at,search_query,result_count,response_time_ms
1,49480,119646,2026-01-01 08:15:43+00:00,milk,14,795
2,23675,57223,2026-01-01 08:21:01+00:00,air fresheners,16,448
3,28072,67943,2026-01-01 08:30:33+00:00,atta and flour,15,88
4,27225,65922,2026-01-01 08:37:49+00:00,chips,12,465
5,74302,179452,2026-01-01 08:38:12+00:00,fresh vegetables,25,516
6,52742,127513,2026-01-01 08:49:26+00:00,soft drinks,22,517
7,19941,48116,2026-01-01 08:59:07+00:00,breakfast cereal,5,676
8,13713,33136,2026-01-01 09:08:07+00:00,herbs and leafy greens,43,245
9,43733,105774,2026-01-01 09:20:53+00:00,packaged water,13,102
10,65097,157253,2026-01-01 09:33:25+00:00,cooking oil,13,419
11,11799,28451,2026-01-01 09:50:26+00:00,fresh fruits,0,532
12,20154,48667,2026-01-01 09:56:46+00:00,breakfast cereal,18,476
13,56704,137072,2026-01-01 10:06:53+00:00,biscuits,31,547
14,6422,15393,2026-01-01 10:10:32+00:00,bread,36,158
15,42542,102872,2026-01-01 10:23:04+00:00,fresh fruits,27,636
16,23598,57047,2026-01-01 10:23:37+00:00,milk,12,456
17,11363,27399,2026-01-01 10:33:45+00:00,skin care,15,668
18,8861,21374,2026-01-01 10:36:37+00:00,namkeen,4,513
19,32810,79439,2026-01-01 10:37:39+00:00,cooking oil,17,595
20,73974,178661,2026-01-01 10:39:08+00:00,hair care,19,427
21,48806,118010,2026-01-01 10:41:52+00:00,fresh vegetables,24,594
22,20295,49015,2026-01-01 10:42:42+00:00,cleaners,30,754
23,3498,8317,2026-01-01 10:47:48+00:00,bread,44,469
24,18950,45712,2026-01-01 10:51:21+00:00,detergents,24,347
25,44065,106564,2026-01-01 10:54:42+00:00,instant food,20,709
26,71050,171576,2026-01-01 10:56:38+00:00,oral care,18,562
27,77019,185987,2026-01-01 11:02:09+00:00,instant food,20,349
28,67045,161876,2026-01-01 11:15:38+00:00,milk,7,670
29,5396,12900,2026-01-01 11:23:11+00:00,fresh fruits,6,587
30,4073,9699,2026-01-01 11:29:04+00:00,hand hygiene,26,324
