store_id,store_name,city,zone,opened_at,is_active
1,SwiftBasket Bengaluru 01,Bengaluru,Indiranagar,2024-12-14,True
2,SwiftBasket Bengaluru 02,Bengaluru,HSR Layout,2025-10-04,True
3,SwiftBasket Bengaluru 03,Bengaluru,Whitefield,2025-02-11,True
4,SwiftBasket Delhi NCR 01,Delhi NCR,Gurugram Sector 43,2025-09-30,True
5,SwiftBasket Delhi NCR 02,Delhi NCR,Noida Sector 62,2024-06-01,True
6,SwiftBasket Delhi NCR 03,Delhi NCR,South Delhi,2025-09-06,True
7,SwiftBasket Mumbai 01,Mumbai,Andheri West,2024-08-28,True
8,SwiftBasket Mumbai 02,Mumbai,Powai,2024-08-04,True
9,SwiftBasket Mumbai 03,Mumbai,Lower Parel,2025-01-22,True
10,SwiftBasket Hyderabad 01,Hyderabad,Gachibowli,2025-10-31,True
11,SwiftBasket Hyderabad 02,Hyderabad,Madhapur,2025-09-16,True
12,SwiftBasket Hyderabad 03,Hyderabad,Kondapur,2024-05-02,True
13,SwiftBasket Pune 01,Pune,Baner,2025-10-16,True
14,SwiftBasket Pune 02,Pune,Kharadi,2025-11-29,True
15,SwiftBasket Pune 03,Pune,Hinjawadi,2025-02-28,True
