user_id,first_seen_at,signup_completed_at,acquisition_channel,campaign_name,initial_city,initial_platform,device_tier,is_serviceable,acquisition_cost
1,2026-01-16 22:10:36+00:00,2026-01-16 22:11:18+00:00,meta_ads,meta_ads_acq_2,Mumbai,Android,low,True,78.34
2,2026-04-10 21:05:38+00:00,2026-04-10 21:09:19+00:00,organic,,Hyderabad,Android,high,True,0.0
3,2026-02-08 12:48:20+00:00,2026-02-08 13:00:02+00:00,organic,,Mumbai,iOS,high,True,0.0
4,2026-01-10 15:48:42+00:00,2026-01-10 15:57:11+00:00,meta_ads,meta_ads_acq_2,Delhi NCR,Android,low,True,89.61
5,2026-05-20 21:33:35+00:00,2026-05-20 21:42:17+00:00,organic,,Hyderabad,Android,low,True,0.0
6,2026-05-07 15:15:58+00:00,2026-05-07 15:27:08+00:00,meta_ads,meta_ads_acq_1,Bengaluru,Android,low,True,85.37
7,2026-03-25 14:43:38+00:00,2026-03-25 14:51:52+00:00,google_ads,google_ads_acq_4,Delhi NCR,Android,high,True,128.04
8,2026-01-23 12:17:11+00:00,2026-01-23 12:25:34+00:00,organic,,Delhi NCR,iOS,high,True,0.0
9,2026-06-01 22:48:27+00:00,2026-06-01 22:57:18+00:00,meta_ads,meta_ads_acq_4,Mumbai,Android,low,True,88.84
10,2026-07-26 20:52:26+00:00,2026-07-26 21:06:22+00:00,affiliate,affiliate_acq_4,Hyderabad,iOS,mid,True,73.24
11,2026-01-04 16:01:51+00:00,2026-01-04 16:05:52+00:00,referral,referral_acq_1,Bengaluru,Android,mid,False,58.04
12,2026-04-09 16:38:37+00:00,,organic,,Pune,Android,mid,True,0.0
13,2026-01-17 18:09:58+00:00,2026-01-17 18:23:49+00:00,google_ads,google_ads_acq_1,Mumbai,Android,high,True,107.17
14,2026-06-27 14:18:44+00:00,2026-06-27 14:24:37+00:00,meta_ads,meta_ads_acq_4,Mumbai,Android,low,True,96.3
15,2026-04-04 21:48:50+00:00,2026-04-04 21:51:08+00:00,organic,,Delhi NCR,iOS,high,True,0.0
16,2026-01-18 09:50:36+00:00,2026-01-18 10:03:21+00:00,meta_ads,meta_ads_acq_1,Delhi NCR,iOS,high,True,78.46
17,2026-01-05 16:01:07+00:00,2026-01-05 16:12:50+00:00,organic,,Pune,Android,mid,True,0.0
18,2026-05-13 22:11:12+00:00,2026-05-13 22:21:11+00:00,meta_ads,meta_ads_acq_3,Delhi NCR,iOS,high,True,96.71
19,2026-03-10 22:58:21+00:00,2026-03-10 23:04:24+00:00,organic,,Delhi NCR,iOS,high,True,0.0
20,2026-02-07 13:30:33+00:00,2026-02-07 13:44:24+00:00,organic,,Delhi NCR,Android,mid,True,0.0
21,2026-05-17 15:58:58+00:00,2026-05-17 16:01:35+00:00,referral,referral_acq_4,Hyderabad,Android,high,True,53.86
22,2026-04-11 22:41:39+00:00,2026-04-11 22:45:26+00:00,organic,,Delhi NCR,Android,mid,False,0.0
23,2026-04-13 21:21:21+00:00,2026-04-13 21:30:43+00:00,google_ads,google_ads_acq_4,Delhi NCR,Android,mid,True,117.16
24,2026-03-17 21:20:27+00:00,2026-03-17 21:25:46+00:00,referral,referral_acq_1,Bengaluru,Android,low,True,62.61
25,2026-04-27 17:39:42+00:00,,organic,,Pune,Android,mid,True,0.0
26,2026-03-07 20:46:00+00:00,2026-03-07 20:59:53+00:00,affiliate,affiliate_acq_4,Hyderabad,Android,mid,True,75.53
27,2026-03-23 22:22:31+00:00,2026-03-23 22:36:29+00:00,referral,referral_acq_2,Mumbai,Android,low,True,51.84
28,2026-06-08 19:39:05+00:00,2026-06-08 19:53:48+00:00,organic,,Hyderabad,iOS,mid,False,0.0
29,2026-04-09 14:50:52+00:00,2026-04-09 14:59:31+00:00,organic,,Bengaluru,Android,low,True,0.0
30,2026-01-02 19:37:44+00:00,,organic,,Bengaluru,Android,high,False,0.0
31,2026-06-04 18:37:51+00:00,2026-06-04 18:49:11+00:00,meta_ads,meta_ads_acq_2,Delhi NCR,iOS,high,True,103.16
32,2026-07-01 17:07:50+00:00,2026-07-01 17:16:40+00:00,google_ads,google_ads_acq_4,Mumbai,iOS,high,True,121.58
33,2026-04-26 21:44:44+00:00,2026-04-26 21:58:15+00:00,organic,,Hyderabad,Android,mid,True,0.0
34,2026-07-05 16:56:35+00:00,2026-07-05 17:02:19+00:00,google_ads,google_ads_acq_3,Bengaluru,Android,mid,True,112.33
35,2026-03-06 11:03:34+00:00,2026-03-06 11:08:41+00:00,google_ads,google_ads_acq_2,Mumbai,Android,low,True,111.25
36,2026-01-20 09:51:26+00:00,2026-01-20 10:05:10+00:00,referral,referral_acq_1,Delhi NCR,Android,low,True,53.51
37,2026-06-14 12:39:20+00:00,,meta_ads,meta_ads_acq_2,Hyderabad,Android,mid,False,92.8
38,2026-03-25 12:16:50+00:00,2026-03-25 12:24:35+00:00,referral,referral_acq_4,Mumbai,Android,mid,True,53.76
39,2026-05-03 14:28:31+00:00,,meta_ads,meta_ads_acq_1,Hyderabad,iOS,high,True,99.5
40,2026-05-22 11:27:47+00:00,2026-05-22 11:30:41+00:00,organic,,Delhi NCR,iOS,high,True,0.0
41,2026-03-20 11:41:50+00:00,2026-03-20 11:52:53+00:00,affiliate,affiliate_acq_3,Pune,iOS,high,True,86.66
42,2026-05-02 15:16:08+00:00,2026-05-02 15:30:58+00:00,meta_ads,meta_ads_acq_4,Hyderabad,Android,low,True,86.86
43,2026-02-09 22:39:52+00:00,2026-02-09 22:46:28+00:00,google_ads,google_ads_acq_2,Pune,Android,mid,True,113.7
44,2026-03-09 09:48:28+00:00,2026-03-09 10:01:24+00:00,organic,,Hyderabad,iOS,high,True,0.0
45,2026-03-10 13:22:34+00:00,2026-03-10 13:34:26+00:00,affiliate,affiliate_acq_1,Hyderabad,iOS,mid,True,86.17
46,2026-03-16 15:34:43+00:00,,meta_ads,meta_ads_acq_3,Mumbai,iOS,high,False,86.93
