period,acquisition_channel,users,conversion,share
post_change,affiliate,3236,0.0815822002472188,0.07962010678345595
post_change,google_ads,8463,0.08424908424908426,0.20822773909406295
post_change,meta_ads,12227,0.06534718246503639,0.3008390128681446
post_change,organic,11467,0.10630504927182349,0.28213960583618336
post_change,referral,5250,0.10095238095238095,0.12917353541815318
pre_change,affiliate,3835,0.08500651890482398,0.09744137002312168
pre_change,google_ads,9555,0.08728414442700157,0.24277765073557436
pre_change,meta_ads,7195,0.07060458651841557,0.18281373072134563
pre_change,organic,12586,0.10829493087557604,0.3197906344487639
pre_change,referral,6186,0.10830908503071451,0.15717661407119446
