event_id,user_id,session_id,event_name,event_timestamp,product_id,search_id,checkout_id,payment_attempt_id,order_id,store_id,screen_name,event_properties
1,49480,119646,app_open,2026-01-01 08:15:27+00:00,,,,,,10.0,launch,{}
2,49480,119646,home_view,2026-01-01 08:15:35+00:00,,,,,,10.0,home,{}
3,49480,119646,search_submitted,2026-01-01 08:15:43+00:00,,1.0,,,,10.0,search,{}
4,49480,119646,search_results_viewed,2026-01-01 08:15:51+00:00,,1.0,,,,10.0,search_results,"{""result_count"":14}"
5,49480,119646,product_viewed,2026-01-01 08:15:59+00:00,490.0,1.0,,,,10.0,product_detail,{}
6,23675,57223,app_open,2026-01-01 08:20:45+00:00,,,,,,3.0,launch,{}
7,23675,57223,home_view,2026-01-01 08:20:53+00:00,,,,,,3.0,home,{}
8,23675,57223,search_submitted,2026-01-01 08:21:01+00:00,,2.0,,,,3.0,search,{}
9,23675,57223,search_results_viewed,2026-01-01 08:21:09+00:00,,2.0,,,,3.0,search_results,"{""result_count"":16}"
10,23675,57223,product_viewed,2026-01-01 08:21:17+00:00,72.0,2.0,,,,3.0,product_detail,{}
11,23675,57223,add_to_cart,2026-01-01 08:21:25+00:00,72.0,2.0,,,,3.0,product_detail,"{""quantity"":1,""unit_price"":152.0}"
12,23675,57223,cart_viewed,2026-01-01 08:21:33+00:00,,,,,,3.0,cart,"{""subtotal"":152.0,""item_count"":1}"
13,74251,179330,app_open,2026-01-01 08:22:36+00:00,,,,,,8.0,launch,{}
14,74251,179330,home_view,2026-01-01 08:22:44+00:00,,,,,,8.0,home,{}
15,74251,179330,category_viewed,2026-01-01 08:22:52+00:00,,,,,,8.0,category,"{""category"":""Packaged foods""}"
16,74251,179330,product_viewed,2026-01-01 08:23:08+00:00,409.0,,,,,8.0,product_detail,{}
17,315,722,app_open,2026-01-01 08:28:38+00:00,,,,,,3.0,launch,{}
18,315,722,home_view,2026-01-01 08:28:46+00:00,,,,,,3.0,home,{}
19,28072,67943,app_open,2026-01-01 08:30:17+00:00,,,,,,5.0,launch,{}
20,28072,67943,home_view,2026-01-01 08:30:25+00:00,,,,,,5.0,home,{}
21,28072,67943,search_submitted,2026-01-01 08:30:33+00:00,,3.0,,,,5.0,search,{}
22,28072,67943,search_results_viewed,2026-01-01 08:30:41+00:00,,3.0,,,,5.0,search_results,"{""result_count"":15}"
23,28072,67943,product_viewed,2026-01-01 08:30:49+00:00,169.0,3.0,,,,5.0,product_detail,{}
24,28072,67943,add_to_cart,2026-01-01 08:30:57+00:00,169.0,3.0,,,,5.0,product_detail,"{""quantity"":1,""unit_price"":46.0}"
25,28072,67943,cart_viewed,2026-01-01 08:31:05+00:00,,,,,,5.0,cart,"{""subtotal"":46.0,""item_count"":1}"
26,35711,86429,app_open,2026-01-01 08:33:50+00:00,,,,,,7.0,launch,{}
27,35711,86429,home_view,2026-01-01 08:33:58+00:00,,,,,,7.0,home,{}
28,23511,56826,app_open,2026-01-01 08:34:45+00:00,,,,,,3.0,launch,{}
29,23511,56826,home_view,2026-01-01 08:34:53+00:00,,,,,,3.0,home,{}
30,23511,56826,category_viewed,2026-01-01 08:35:01+00:00,,,,,,3.0,category,"{""category"":""Packaged foods""}"
31,23511,56826,product_viewed,2026-01-01 08:35:17+00:00,239.0,,,,,3.0,product_detail,{}
32,27225,65922,app_open,2026-01-01 08:37:33+00:00,,,,,,7.0,launch,{}
33,27225,65922,home_view,2026-01-01 08:37:41+00:00,,,,,,7.0,home,{}
34,27225,65922,search_submitted,2026-01-01 08:37:49+00:00,,4.0,,,,7.0,search,{}
35,27225,65922,search_results_viewed,2026-01-01 08:37:57+00:00,,4.0,,,,7.0,search_results,"{""result_count"":12}"
36,27225,65922,product_viewed,2026-01-01 08:38:05+00:00,359.0,4.0,,,,7.0,product_detail,{}
37,27225,65922,add_to_cart,2026-01-01 08:38:13+00:00,359.0,4.0,,,,7.0,product_detail,"{""quantity"":2,""unit_price"":55.0}"
38,27225,65922,add_to_cart,2026-01-01 08:38:21+00:00,362.0,,,,,7.0,product_detail,"{""quantity"":2,""unit_price"":70.0}"
39,27225,65922,cart_viewed,2026-01-01 08:38:29+00:00,,,,,,7.0,cart,"{""subtotal"":250.0,""item_count"":2}"
40,27225,65922,checkout_started,2026-01-01 08:38:37+00:00,,,1.0,,,7.0,checkout,{}
41,27225,65922,fee_breakdown_viewed,2026-01-01 08:38:45+00:00,,,1.0,,,7.0,checkout,"{""handling_fee"":5.0,""delivery_fee"":0.0,""total"":255.0}"
42,27225,65922,payment_attempted,2026-01-01 08:39:12+00:00,,,1.0,1.0,,7.0,payment,"{""method"":""UPI""}"
43,27225,65922,payment_failed,2026-01-01 08:39:15+00:00,,,1.0,1.0,,7.0,payment,"{""failure_code"":""NETWORK_ERROR""}"
