order_item_id,order_id,product_id,quantity,unit_price,unit_cost,item_discount,item_total,was_substituted,was_available_at_checkout
1,1,359,2,55.0,39.66,0.0,110.0,False,True
2,1,362,2,70.0,44.95,0.0,140.0,False,True
3,2,365,2,31.0,20.1,0.0,62.0,False,True
4,2,156,1,23.0,14.11,0.0,23.0,False,True
5,2,109,1,129.0,87.12,0.0,129.0,True,True
6,3,67,1,599.0,355.37,0.0,599.0,False,True
7,4,190,1,49.0,29.88,0.0,49.0,False,True
8,4,386,1,63.0,47.15,0.0,63.0,True,True
9,5,539,1,359.0,218.17,0.0,359.0,False,True
10,5,132,1,20.0,14.39,0.0,20.0,False,True
11,6,450,1,644.0,493.55,0.0,644.0,False,True
12,7,448,1,166.0,121.6,0.0,166.0,False,True
13,8,85,2,163.0,95.43,0.0,326.0,False,True
14,9,24,2,73.0,54.21,0.0,146.0,False,True
15,9,231,1,180.0,108.17,0.0,180.0,False,True
16,10,64,1,9.0,5.44,0.0,9.0,False,True
17,10,178,1,67.0,38.87,0.0,67.0,False,True
18,10,282,1,37.0,23.46,0.0,37.0,False,True
19,11,541,1,444.0,292.28,0.0,444.0,False,True
20,11,553,1,62.0,42.88,0.0,62.0,False,True
21,12,359,1,55.0,31.91,0.0,55.0,False,True
22,12,578,1,90.0,68.3,0.0,90.0,False,True
23,13,455,1,303.0,233.52,0.0,303.0,False,True
24,13,191,1,531.0,372.12,0.0,531.0,False,True
25,14,207,1,132.0,76.77,0.0,132.0,False,True
26,14,178,2,67.0,42.16,0.0,134.0,False,True
27,14,496,1,26.0,15.71,0.0,26.0,False,True
28,14,456,1,463.0,330.58,0.0,463.0,False,True
29,15,561,1,154.0,101.21,0.0,154.0,False,True
30,15,515,1,146.0,107.04,0.0,146.0,False,True
31,15,242,1,576.0,356.49,0.0,576.0,False,True
32,16,109,1,129.0,87.86,0.0,129.0,False,True
33,17,474,1,23.0,16.98,0.0,23.0,False,True
34,17,406,1,333.0,250.28,0.0,333.0,False,True
35,17,407,1,149.0,98.91,0.0,149.0,True,True
