order_id,checkout_id,user_id,store_id,order_placed_at,confirmed_at,delivered_at,cancelled_at,final_status,item_count,subtotal,delivery_fee,handling_fee,discount_amount,order_value,refund_amount,refund_status,fulfillment_cost,payment_processing_cost,cancellation_actor,cancellation_reason
1,1,27225,7.0,2026-01-01 08:39:53+00:00,2026-01-01 08:41:53+00:00,2026-01-01 09:04:53+00:00,,delivered,4,250.0,0.0,5.0,0.0,255.0,0.0,none,43.58,3.06,,
2,3,64954,4.0,2026-01-01 09:12:52+00:00,2026-01-01 09:15:52+00:00,2026-01-01 09:23:52+00:00,,delivered,4,214.0,0.0,5.0,0.0,219.0,0.0,none,28.62,2.63,,
3,5,65097,13.0,2026-01-01 09:35:21+00:00,2026-01-01 09:38:21+00:00,2026-01-01 09:49:21+00:00,,delivered,1,599.0,0.0,0.0,30.0,569.0,0.0,none,39.59,6.83,,
4,7,6422,15.0,2026-01-01 10:12:01+00:00,2026-01-01 10:14:01+00:00,2026-01-01 10:40:01+00:00,,delivered,2,112.0,25.0,5.0,0.0,142.0,0.0,none,43.25,1.7,,
5,8,11363,1.0,2026-01-01 10:35:14+00:00,2026-01-01 10:37:14+00:00,2026-01-01 10:46:14+00:00,,delivered,2,379.0,0.0,5.0,30.0,354.0,0.0,none,45.94,2.12,,
6,9,32810,12.0,2026-01-01 10:39:00+00:00,2026-01-01 10:42:00+00:00,2026-01-01 10:59:00+00:00,,delivered,1,644.0,0.0,0.0,0.0,644.0,109.87,partial,46.32,7.73,,
7,11,71050,1.0,2026-01-01 10:57:59+00:00,2026-01-01 10:58:59+00:00,2026-01-01 11:22:59+00:00,,delivered,1,166.0,25.0,5.0,0.0,196.0,0.0,none,47.45,1.18,,
8,12,78861,10.0,2026-01-01 11:33:52+00:00,2026-01-01 11:34:52+00:00,2026-01-01 11:52:52+00:00,,delivered,2,326.0,0.0,5.0,30.0,301.0,0.0,none,45.86,3.61,,
9,16,15278,2.0,2026-01-01 13:23:30+00:00,2026-01-01 13:26:30+00:00,2026-01-01 13:55:30+00:00,,delivered,3,326.0,0.0,5.0,0.0,331.0,0.0,none,40.11,1.99,,
10,17,10846,15.0,2026-01-01 13:42:49+00:00,2026-01-01 13:44:49+00:00,,,delivery_failed,3,113.0,25.0,5.0,0.0,143.0,0.0,none,32.23,0.86,,
11,18,37291,11.0,2026-01-01 13:44:44+00:00,2026-01-01 13:47:44+00:00,2026-01-01 14:25:44+00:00,,delivered,2,506.0,0.0,0.0,0.0,506.0,0.0,none,46.06,6.07,,
12,19,19023,1.0,2026-01-01 13:50:55+00:00,2026-01-01 13:51:55+00:00,2026-01-01 14:25:55+00:00,,delivered,2,145.0,25.0,5.0,0.0,175.0,0.0,none,48.83,2.1,,
13,21,50718,10.0,2026-01-01 14:03:26+00:00,2026-01-01 14:05:26+00:00,2026-01-01 14:22:26+00:00,,delivered,2,834.0,0.0,0.0,30.0,804.0,0.0,none,49.18,4.82,,
14,24,20429,1.0,2026-01-01 14:19:06+00:00,2026-01-01 14:20:06+00:00,2026-01-01 14:46:06+00:00,,delivered,5,755.0,0.0,0.0,0.0,755.0,0.0,none,39.01,9.06,,
15,25,16654,14.0,2026-01-01 14:45:12+00:00,2026-01-01 14:47:12+00:00,,2026-01-01 14:54:12+00:00,cancelled_by_store,3,876.0,0.0,0.0,0.0,876.0,0.0,none,46.05,10.51,store,address_issue
16,27,32130,3.0,2026-01-01 14:58:27+00:00,2026-01-01 15:01:27+00:00,2026-01-01 15:24:27+00:00,,delivered,1,129.0,25.0,5.0,0.0,159.0,0.0,none,42.73,0.95,,
17,30,74850,7.0,2026-01-01 15:36:34+00:00,2026-01-01 15:39:34+00:00,2026-01-01 15:56:34+00:00,,delivered,3,505.0,0.0,0.0,30.0,475.0,0.0,none,39.24,2.85,,
18,32,75573,8.0,2026-01-01 16:18:50+00:00,2026-01-01 16:20:50+00:00,2026-01-01 16:32:50+00:00,,delivered,2,697.0,0.0,0.0,0.0,697.0,0.0,none,57.8,4.18,,
19,33,30576,1.0,2026-01-01 16:31:06+00:00,2026-01-01 16:33:06+00:00,2026-01-01 16:48:06+00:00,,delivered,2,926.0,0.0,0.0,0.0,926.0,0.0,none,53.49,11.11,,
20,34,75720,15.0,2026-01-01 16:37:58+00:00,2026-01-01 16:40:58+00:00,2026-01-01 17:03:58+00:00,,delivered,2,101.0,25.0,5.0,0.0,131.0,0.0,none,41.48,1.57,,
21,36,27947,10.0,2026-01-01 16:53:00+00:00,2026-01-01 16:54:00+00:00,2026-01-01 17:06:00+00:00,,delivered,2,444.0,0.0,0.0,0.0,444.0,0.0,none,52.86,2.66,,
22,37,66215,1.0,2026-01-01 16:55:25+00:00,2026-01-01 16:56:25+00:00,,2026-01-01 17:02:25+00:00,cancelled_by_user,3,689.0,0.0,0.0,0.0,689.0,0.0,none,33.8,4.13,user,address_issue
23,39,41413,12.0,2026-01-01 18:26:58+00:00,2026-01-01 18:28:58+00:00,2026-01-01 19:01:58+00:00,,delivered,2,331.0,0.0,5.0,0.0,336.0,0.0,none,44.0,2.02,,
24,40,50305,11.0,2026-01-01 18:28:09+00:00,2026-01-01 18:29:09+00:00,2026-01-01 18:58:09+00:00,,delivered,2,488.0,0.0,0.0,0.0,488.0,0.0,none,45.52,2.93,,
