session_id,user_id,session_started_at,session_ended_at,platform,app_version,device_type,network_type,city,store_id
119646,49480,2026-01-01 08:15:27+00:00,2026-01-01 08:20:02+00:00,Android,5.6.0,Android high,Wi-Fi,Hyderabad,10.0
57223,23675,2026-01-01 08:20:45+00:00,2026-01-01 08:23:31+00:00,iOS,5.6.0,iPhone,4G,Bengaluru,3.0
179330,74251,2026-01-01 08:22:36+00:00,2026-01-01 08:35:11+00:00,Android,5.6.0,Android high,4G,Mumbai,8.0
722,315,2026-01-01 08:28:38+00:00,2026-01-01 08:31:59+00:00,Android,5.6.0,Android low,4G,Bengaluru,3.0
67943,28072,2026-01-01 08:30:17+00:00,2026-01-01 08:35:50+00:00,Android,5.6.0,Android low,4G,Delhi NCR,5.0
86429,35711,2026-01-01 08:33:50+00:00,2026-01-01 08:41:03+00:00,Android,5.6.0,Android mid,4G,Mumbai,7.0
56826,23511,2026-01-01 08:34:45+00:00,2026-01-01 08:38:13+00:00,Android,5.6.0,Android high,4G,Bengaluru,3.0
65922,27225,2026-01-01 08:37:33+00:00,2026-01-01 08:39:19+00:00,Android,5.6.0,Android mid,4G,Mumbai,7.0
179452,74302,2026-01-01 08:37:56+00:00,2026-01-01 08:41:16+00:00,Android,5.6.0,Android high,4G,Delhi NCR,5.0
111650,46192,2026-01-01 08:38:28+00:00,2026-01-01 08:43:09+00:00,iOS,5.6.0,iPhone,4G,Delhi NCR,5.0
97038,40138,2026-01-01 08:42:55+00:00,2026-01-01 08:45:11+00:00,Android,5.6.0,Android low,4G,Delhi NCR,6.0
111874,46282,2026-01-01 08:44:28+00:00,2026-01-01 08:45:58+00:00,iOS,5.6.0,iPhone,Wi-Fi,Bengaluru,1.0
44151,18294,2026-01-01 08:44:56+00:00,2026-01-01 08:48:45+00:00,Android,5.6.0,Android mid,Wi-Fi,Hyderabad,12.0
168392,69724,2026-01-01 08:46:56+00:00,2026-01-01 08:48:26+00:00,iOS,5.6.0,iPhone,Wi-Fi,Pune,13.0
127513,52742,2026-01-01 08:49:10+00:00,2026-01-01 08:55:50+00:00,Android,5.6.0,Android mid,Wi-Fi,Delhi NCR,4.0
48116,19941,2026-01-01 08:58:51+00:00,2026-01-01 09:04:57+00:00,Android,5.6.0,Android low,5G,Mumbai,8.0
65771,27159,2026-01-01 09:07:45+00:00,2026-01-01 09:10:55+00:00,iOS,5.6.0,iPhone,5G,Bengaluru,3.0
33136,13713,2026-01-01 09:07:51+00:00,2026-01-01 09:10:33+00:00,Android,5.6.0,Android low,5G,Hyderabad,12.0
156901,64954,2026-01-01 09:10:59+00:00,2026-01-01 09:14:46+00:00,iOS,5.6.0,iPhone,5G,Delhi NCR,4.0
105774,43733,2026-01-01 09:20:37+00:00,2026-01-01 09:23:07+00:00,iOS,5.6.0,iPhone,Wi-Fi,Hyderabad,11.0
157253,65097,2026-01-01 09:33:09+00:00,2026-01-01 09:35:25+00:00,iOS,5.6.0,iPhone,Wi-Fi,Pune,13.0
13437,5606,2026-01-01 09:33:44+00:00,2026-01-01 09:36:30+00:00,Android,5.6.0,Android mid,5G,Delhi NCR,4.0
117914,48772,2026-01-01 09:34:23+00:00,2026-01-01 09:40:31+00:00,Android,5.6.0,Android low,4G,Pune,15.0
40321,16706,2026-01-01 09:36:44+00:00,2026-01-01 09:39:00+00:00,Android,5.6.0,Android mid,Wi-Fi,Bengaluru,2.0
183215,75850,2026-01-01 09:43:26+00:00,2026-01-01 09:49:32+00:00,Android,5.6.0,Android mid,4G,Bengaluru,1.0
166838,69079,2026-01-01 09:44:59+00:00,2026-01-01 09:48:21+00:00,Android,5.6.0,Android mid,4G,Mumbai,9.0
142286,58888,2026-01-01 09:48:55+00:00,2026-01-01 09:52:31+00:00,Android,5.6.0,Android mid,4G,Mumbai,8.0
28451,11799,2026-01-01 09:50:10+00:00,2026-01-01 09:54:49+00:00,Android,5.6.0,Android mid,Wi-Fi,Hyderabad,10.0
145122,60038,2026-01-01 09:51:50+00:00,2026-01-01 09:54:51+00:00,iOS,5.6.0,iPhone,Wi-Fi,Bengaluru,3.0
16953,7044,2026-01-01 09:51:52+00:00,2026-01-01 09:55:28+00:00,Android,5.6.0,Android mid,4G,Mumbai,9.0
52996,21931,2026-01-01 09:52:06+00:00,2026-01-01 09:53:57+00:00,Android,5.6.0,Android low,4G,Pune,
48667,20154,2026-01-01 09:56:30+00:00,2026-01-01 10:06:30+00:00,iOS,5.6.0,iPhone,5G,Mumbai,8.0
173535,71846,2026-01-01 09:57:54+00:00,2026-01-01 10:00:09+00:00,Android,5.6.0,Android high,5G,Hyderabad,
88534,36597,2026-01-01 09:58:29+00:00,2026-01-01 10:04:56+00:00,Android,5.6.0,Android high,4G,Pune,13.0
25836,10709,2026-01-01 10:02:21+00:00,2026-01-01 10:07:51+00:00,Android,5.6.0,Android mid,4G,Pune,13.0
137072,56704,2026-01-01 10:06:37+00:00,2026-01-01 10:11:42+00:00,Android,5.6.0,Android high,4G,Delhi NCR,4.0
49101,20331,2026-01-01 10:09:07+00:00,2026-01-01 10:10:37+00:00,Android,5.6.0,Android low,4G,Delhi NCR,6.0
188317,77970,2026-01-01 10:10:04+00:00,2026-01-01 10:16:37+00:00,Android,5.6.0,Android mid,Wi-Fi,Hyderabad,10.0
15393,6422,2026-01-01 10:10:16+00:00,2026-01-01 10:13:59+00:00,Android,5.6.0,Android high,4G,Pune,15.0
120552,49845,2026-01-01 10:13:51+00:00,2026-01-01 10:15:45+00:00,Android,5.6.0,Android low,Wi-Fi,Delhi NCR,5.0
22334,9262,2026-01-01 10:16:14+00:00,2026-01-01 10:19:08+00:00,Android,5.6.0,Android low,4G,Mumbai,9.0
14460,6033,2026-01-01 10:19:58+00:00,2026-01-01 10:24:15+00:00,Android,5.6.0,Android mid,4G,Delhi NCR,6.0
39202,16248,2026-01-01 10:20:45+00:00,2026-01-01 10:29:00+00:00,Android,5.6.0,Android high,Wi-Fi,Hyderabad,10.0
102872,42542,2026-01-01 10:22:48+00:00,2026-01-01 10:26:34+00:00,Android,5.6.0,Android mid,Wi-Fi,Mumbai,9.0
57047,23598,2026-01-01 10:23:21+00:00,2026-01-01 10:25:03+00:00,Android,5.6.0,Android low,Wi-Fi,Delhi NCR,4.0
85809,35452,2026-01-01 10:28:22+00:00,2026-01-01 10:32:13+00:00,Android,5.6.0,Android mid,4G,Bengaluru,1.0
174427,72226,2026-01-01 10:30:13+00:00,2026-01-01 10:35:32+00:00,iOS,5.6.0,iPhone,5G,Bengaluru,1.0
27399,11363,2026-01-01 10:33:29+00:00,2026-01-01 10:39:21+00:00,Android,5.6.0,Android low,Wi-Fi,Bengaluru,1.0
165318,68452,2026-01-01 10:34:40+00:00,2026-01-01 10:36:10+00:00,iOS,5.6.0,iPhone,4G,Delhi NCR,5.0
21374,8861,2026-01-01 10:36:21+00:00,2026-01-01 10:38:31+00:00,iOS,5.6.0,iPhone,Wi-Fi,Delhi NCR,4.0
79439,32810,2026-01-01 10:37:23+00:00,2026-01-01 10:41:51+00:00,iOS,5.6.0,iPhone,5G,Hyderabad,12.0
139162,57590,2026-01-01 10:38:36+00:00,2026-01-01 10:44:44+00:00,Android,5.6.0,Android low,4G,Hyderabad,10.0
42966,17795,2026-01-01 10:38:46+00:00,2026-01-01 10:45:32+00:00,Android,5.6.0,Android mid,4G,Hyderabad,10.0
178661,73974,2026-01-01 10:38:52+00:00,2026-01-01 10:40:22+00:00,Android,5.6.0,Android mid,4G,Bengaluru,2.0
118010,48806,2026-01-01 10:41:36+00:00,2026-01-01 10:46:26+00:00,iOS,5.6.0,iPhone,4G,Delhi NCR,6.0
49015,20295,2026-01-01 10:42:26+00:00,2026-01-01 10:47:20+00:00,Android,5.6.0,Android mid,Wi-Fi,Delhi NCR,5.0
192319,79626,2026-01-01 10:47:04+00:00,2026-01-01 10:48:34+00:00,Android,5.6.0,Android mid,4G,Delhi NCR,5.0
8317,3498,2026-01-01 10:47:32+00:00,2026-01-01 10:51:59+00:00,Android,5.6.0,Android high,5G,Bengaluru,1.0
73727,30451,2026-01-01 10:48:36+00:00,2026-01-01 10:50:54+00:00,Android,5.6.0,Android low,4G,Bengaluru,
28488,11814,2026-01-01 10:50:28+00:00,2026-01-01 10:52:46+00:00,Android,5.6.0,Android mid,4G,Hyderabad,12.0
45712,18950,2026-01-01 10:51:05+00:00,2026-01-01 10:55:47+00:00,Android,5.6.0,Android mid,4G,Delhi NCR,6.0
